date,ip_total,ip_manufacturing,ip_durable_mfg,ip_nondurable_mfg,ip_mining,ip_utilities,ip_electric_power,ip_natural_gas,ip_consumer_goods,ip_consumer_durable,ip_consumer_nondurable,ip_business_equipment,ip_construction_supplies,ip_business_supplies,ip_materials,ip_durable_materials,ip_nondurable_materials,ip_energy_materials,ip_wood_products,ip_nonmetallic_minerals,ip_primary_metals,ip_fabricated_metals,ip_machinery,ip_computer_electronic,ip_computer,ip_communications_equipment,ip_semiconductors,ip_electrical_equipment,ip_motor_vehicles,ip_aerospace,ip_furniture,ip_misc_durables,ip_food_tobacco,ip_textile_mills,ip_apparel_leather,ip_paper,ip_printing,ip_petroleum_coal,ip_chemicals,ip_plastics_rubber,cu_total,cu_manufacturing,cu_durable_mfg,cu_nondurable_mfg,cu_mining,cu_utilities,cu_electric_power,cu_natural_gas,cu_wood_products,cu_nonmetallic_minerals,cu_primary_metals,cu_fabricated_metals,cu_machinery,cu_computer_electronic,cu_computer,cu_communications_equipment,cu_semiconductors,cu_electrical_equipment,cu_motor_vehicles,cu_aerospace,cu_furniture,cu_misc_durables,cu_food_tobacco,cu_textile_mills,cu_apparel_leather,cu_paper,cu_printing,cu_petroleum_coal,cu_chemicals,cu_plastics_rubber
1926-12-31,6.6933,,,,34.8277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927-01-31,6.6664,,,,33.9347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927-02-28,6.7202,,,,34.4843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927-03-31,6.8008,,,,36.1329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927-04-30,6.6396,,,,31.8052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927-05-31,6.6933,,,,32.0113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927-06-30,6.6664,,,,31.5991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927-07-31,6.5858,,,,30.3627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927-08-31,6.5858,,,,31.9426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927-09-30,6.4783,,,,31.1869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927-10-31,6.3439,,,,30.6374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
